问题 ID,说明,状态,严重性,故事点,项目路径,位置种类,路径,折线图,列,事件 ID,帮助链接,程序集名称,程序集版本,程序集公钥,片段
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,XiaoYu_LAM.csproj,File,ToolForm\Win32APIDesktop.Designer.cs,99,12,P:System.Windows.Forms.Label.Text,,,,,"this.label2.Text = ""如果你在主力Windows11/10机器上试图使用这个窗口调试多桌面，后果我已经告诉你了"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,XiaoYu_LAM.csproj,File,ToolForm\Win32APIDesktop.Designer.cs,98,12,T:System.Windows.Forms.Label,,,,,this.label2.TabIndex = 5;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,XiaoYu_LAM.csproj,File,ToolForm\Win32APIDesktop.Designer.cs,98,12,P:System.Windows.Forms.Control.TabIndex,,,,,this.label2.TabIndex = 5;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,XiaoYu_LAM.csproj,File,ToolForm\Win32APIDesktop.Designer.cs,97,12,T:System.Windows.Forms.Label,,,,,"this.label2.Size = new System.Drawing.Size(478, 17);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,XiaoYu_LAM.csproj,File,ToolForm\Win32APIDesktop.Designer.cs,97,12,P:System.Windows.Forms.Control.Size,,,,,"this.label2.Size = new System.Drawing.Size(478, 17);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,XiaoYu_LAM.csproj,File,ToolForm\Win32APIDesktop.Designer.cs,96,12,T:System.Windows.Forms.Label,,,,,"this.label2.Name = ""label2"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,XiaoYu_LAM.csproj,File,ToolForm\Win32APIDesktop.Designer.cs,96,12,P:System.Windows.Forms.Control.Name,,,,,"this.label2.Name = ""label2"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,XiaoYu_LAM.csproj,File,ToolForm\Win32APIDesktop.Designer.cs,95,12,T:System.Windows.Forms.Label,,,,,"this.label2.Location = new System.Drawing.Point(15, 36);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,XiaoYu_LAM.csproj,File,ToolForm\Win32APIDesktop.Designer.cs,95,12,P:System.Windows.Forms.Control.Location,,,,,"this.label2.Location = new System.Drawing.Point(15, 36);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,XiaoYu_LAM.csproj,File,ToolForm\Win32APIDesktop.Designer.cs,94,12,T:System.Windows.Forms.Label,,,,,this.label2.AutoSize = true;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,XiaoYu_LAM.csproj,File,ToolForm\Win32APIDesktop.Designer.cs,94,12,P:System.Windows.Forms.Label.AutoSize,,,,,this.label2.AutoSize = true;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,XiaoYu_LAM.csproj,File,ToolForm\Win32APIDesktop.Designer.cs,90,12,T:System.Windows.Forms.Label,,,,,"this.label1.Text = ""沟槽的Indiadows11，在非Default桌面启动UWP应用有概率导致所有UWP应用损坏!!"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,XiaoYu_LAM.csproj,File,ToolForm\Win32APIDesktop.Designer.cs,90,12,P:System.Windows.Forms.Label.Text,,,,,"this.label1.Text = ""沟槽的Indiadows11，在非Default桌面启动UWP应用有概率导致所有UWP应用损坏!!"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,XiaoYu_LAM.csproj,File,ToolForm\Win32APIDesktop.Designer.cs,89,12,T:System.Windows.Forms.Label,,,,,this.label1.TabIndex = 4;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,XiaoYu_LAM.csproj,File,ToolForm\Win32APIDesktop.Designer.cs,89,12,P:System.Windows.Forms.Control.TabIndex,,,,,this.label1.TabIndex = 4;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,XiaoYu_LAM.csproj,File,ToolForm\Win32APIDesktop.Designer.cs,88,12,T:System.Windows.Forms.Label,,,,,"this.label1.Size = new System.Drawing.Size(463, 17);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,XiaoYu_LAM.csproj,File,ToolForm\Win32APIDesktop.Designer.cs,88,12,P:System.Windows.Forms.Control.Size,,,,,"this.label1.Size = new System.Drawing.Size(463, 17);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,XiaoYu_LAM.csproj,File,ToolForm\Win32APIDesktop.Designer.cs,87,12,T:System.Windows.Forms.Label,,,,,"this.label1.Name = ""label1"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,XiaoYu_LAM.csproj,File,ToolForm\Win32APIDesktop.Designer.cs,87,12,P:System.Windows.Forms.Control.Name,,,,,"this.label1.Name = ""label1"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,XiaoYu_LAM.csproj,File,ToolForm\Win32APIDesktop.Designer.cs,86,12,T:System.Windows.Forms.Padding,,,,,"this.label1.Margin = new System.Windows.Forms.Padding(4, 0, 4, 0);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,XiaoYu_LAM.csproj,File,ToolForm\Win32APIDesktop.Designer.cs,86,12,"M:System.Windows.Forms.Padding.#ctor(System.Int32,System.Int32,System.Int32,System.Int32)",,,,,"this.label1.Margin = new System.Windows.Forms.Padding(4, 0, 4, 0);"
